# forras=https://www.solartronics.de generalva=2026-09-19T09:38:52Z penznem=EUR ar=brutto_kiskereskedelmi_inkl_MwSt termek_db=434 keszleten=344
cikkszam;nev;ar;listaar;akcios;kedvezmeny_szazalek;keszleten_van;keszlet_statusz;rendelheto;suly_kg;url;fokep_url;utolso_modositas;netto_ar;ar_tipus;ar_fix;tol_ar;variansos;kiszereles;ean;marka;duplikalt_cikkszam;duplikalt_db
H07RN-1;10 - 50 Meter INVOLT H07RN-F 3G1.5mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;19.95;;nem;;nem;nincs raktaron (beszerzes alatt);igen;1.6;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/10-50-meter-involt-h07rn-f-3g1.5mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h07rn-1;https://www.solartronics.de/media/image/24/2c/17/H07RN-1-fba-MAIN.jpg;2026-08-28;16.76;brutto (netto szamitott, 19% MwSt);nem;nem;igen;10 Meter (2,00 € * / 1 Meter);4068508022364;INVOLT;nem;1
H07RN-8;10 - 50 Meter INVOLT H07RN-F 3G2.5mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;39.95;;nem;;igen;raktaron;igen;3.3;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/10-50-meter-involt-h07rn-f-3g2.5mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h07rn-8;https://www.solartronics.de/media/image/d8/5a/af/H07RN-20-15m.jpg;2026-07-15;33.57;brutto (netto szamitott, 19% MwSt);nem;nem;igen;15 Meter (2,66 € * / 1 Meter);4068508022432;INVOLT;nem;1
H07RN-13;10 - 50 Meter INVOLT H07RN-F 5x1.5mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;27.95;;nem;;igen;raktaron;igen;2.38;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/10-50-meter-involt-h07rn-f-5x1.5mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h07rn-13;https://www.solartronics.de/media/image/4e/91/f5/INVOLT-H07RN-F-5G1-5mm2-10m-gummischlauchleitung-starkstromkabel.jpg;2026-06-04;23.49;brutto (netto szamitott, 19% MwSt);nem;nem;igen;10 Meter (2,80 € * / 1 Meter);4068508022487;INVOLT;nem;1
H07RN-19;10 - 50 Meter INVOLT H07RN-F 5x2.5mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;38.95;;nem;;igen;raktaron;igen;3.23;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/10-50-meter-involt-h07rn-f-5x2.5mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h07rn-19;https://www.solartronics.de/media/image/77/0d/94/INVOLT-H07RN-F-5x2-5mm2-Starkstromkabel-gummikabel-10m.jpg;2026-06-04;32.73;brutto (netto szamitott, 19% MwSt);nem;nem;igen;10 Meter (3,90 € * / 1 Meter);4068508022548;INVOLT;nem;1
H05RR-1;2-fach Verlängerungskabel IP44 – H05RR-F 3G1,5 mm²;16.95;;nem;;igen;raktaron;igen;0.78;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/2-fach-verlaengerungskabel-ip44-h05rr-f-3g1-5-mm2-h05rr-1;https://www.solartronics.de/media/image/c8/3f/b2/INVOLT-H05RR-F-2-fach-Verlaengerungskabel-3m-IP44-Schutzkontaktverteiler.png;2026-07-15;14.24;brutto (netto szamitott, 19% MwSt);nem;nem;igen;1 Laufende(r) Meter;4068508022678;INVOLT;nem;1
H05RR-8;3-fach Verlängerungskabel IP44 – H05RR-F 3G1,5 mm²;18.95;;nem;;igen;raktaron;igen;0.78;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/3-fach-verlaengerungskabel-ip44-h05rr-f-3g1-5-mm2-h05rr-8;https://www.solartronics.de/media/image/1b/59/fb/INVOLT-H05RR-F-3-fach-Verlaengerungskabel-3m-IP44-Schutzkontaktverteiler.jpg;2026-07-15;15.92;brutto (netto szamitott, 19% MwSt);nem;nem;igen;1 Laufende(r) Meter;4068508022753;INVOLT;nem;1
H05RN-1;5 - 50 Meter INVOLT H05RN-F 3G0.75mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;12.95;;nem;;igen;raktaron;igen;0.43;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/5-50-meter-involt-h05rn-f-3g0.75mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h05rn-1;https://www.solartronics.de/media/image/73/33/c8/H05RN-1-5m.jpg;2026-08-26;10.88;brutto (netto szamitott, 19% MwSt);nem;nem;igen;;4068508022609;INVOLT;nem;1
IV-BST-003;CEE Baustromverteiler Starkstrom Schuko Adapter 4 x 230V 2 x 400 V 5-polig 16A IP44;55.95;;nem;;igen;raktaron;igen;3.0;https://www.solartronics.de/stromverteiler-230v-400v/verteiler-und-adapter/cee-baustromverteiler-starkstrom-schuko-adapter-4-x-230v-2-x-400-v-5-polig-16a-ip44-iv-bst-003;https://www.solartronics.de/media/image/5c/84/5c/involt-baustromverteiler-baustelle-test-starkstrom-400v-230v-seitenansicht-iv-bst-003.jpg;2026-06-10;47.02;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508023125;INVOLT;nem;1
IV-BST-002;CEE Baustromverteiler Starkstrom Schuko Adapter 4 x 230V 2 x 400 V 5-polig 16A Mit FI Schutzschalter;79.95;;nem;;igen;raktaron;igen;3.0;https://www.solartronics.de/stromverteiler-230v-400v/verteiler-und-adapter/cee-baustromverteiler-starkstrom-schuko-adapter-4-x-230v-2-x-400-v-5-polig-16a-mit-fi-schutzschalter-iv-bst-002;https://www.solartronics.de/media/image/5c/84/5c/involt-baustromverteiler-baustelle-test-starkstrom-400v-230v-seitenansicht-iv-bst-003.jpg;2026-07-03;67.18;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508023125;INVOLT;nem;1
H07V-K-10-Set1;H07V-K 10 mm² Verdrahtungsleitung Set 3 x Einzelader Schwarz, Blau, Grün-Gelb mit Aderendhülsen;49.95;;nem;;igen;raktaron;igen;1.68;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/h07v-k-10-mm2-verdrahtungsleitung-set-3-x-einzelader-schwarz-blau-gruen-gelb-mit-aderendhuelsen-h07v-k-10-set1;https://www.solartronics.de/media/image/0b/ae/39/H07V-K-10-mm2-Verdrahtungsleitung-Set-3x5m-Einzelader-farbig-inkl-100-Aderendhuelsen-Spannungspruefer-VDE-INVOLT.jpg;2026-04-10;41.97;brutto (netto szamitott, 19% MwSt);nem;nem;igen;;4068508017872;INVOLT;nem;1
H07V-K-10-Set9;H07V-K 10 mm² Verdrahtungsleitung Set, 5x Einzelader Schwarz, Blau, Braun, Grau, Grün-Gelb + Zubehör;19.95;;nem;;igen;raktaron;igen;0.57;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/h07v-k-10-mm2-verdrahtungsleitung-set-5x-einzelader-schwarz-blau-braun-grau-gruen-gelb-zubehoer-h07v-k-10-set9;https://www.solartronics.de/media/image/5a/a7/33/involt-h07vk-10mm2-verdrahtungsleitung-set-5x1m-einzelader-20-aderendhuelsen-spannungspruefer-vde.jpg;2026-04-10;16.76;brutto (netto szamitott, 19% MwSt);nem;nem;igen;5 Meter (3,99 € * / 1 Meter);4068508017957;INVOLT;nem;1
H07V-K-6-RT-3M;H07V-K 3 -100m 4/6/10/16mm² 6 Farben Aderleitung flexibel Verdrahtungsleitung PVC Meterware;9.95;;nem;;igen;raktaron;igen;0.2;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/h07v-k-3-100m-4/6/10/16mm2-6-farben-aderleitung-flexibel-verdrahtungsleitung-pvc-meterware-h07v-k-6-rt-3m;https://www.solartronics.de/media/image/c5/86/06/H07V-K-6-RT-3MW0mEBt7TYkBDhz8FHrW7uDUuQU.jpg;2026-06-17;8.36;brutto (netto szamitott, 19% MwSt);nem;nem;igen;5 Meter (1,99 € * / 1 Meter);4068508020339;INVOLT;nem;1
H07V-K-6-Set15;H07V-K 6 mm² Verdrahtungsleitung 5m Schwarz je 2m Blau +Grün Gelb Set, mit 40 Aderendhülsen;18.95;;nem;;igen;raktaron;igen;0.63;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/h07v-k-6-mm2-verdrahtungsleitung-5m-schwarz-je-2m-blau-gruen-gelb-set-mit-40-aderendhuelsen-h07v-k-6-set15;https://www.solartronics.de/media/image/9c/45/e6/h07vl_6mm2_stromkabel_set.jpg;2026-06-11;15.92;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508022296;INVOLT;nem;1
H07V-K-6-Set5;H07V-K 6 mm² Verdrahtungsleitung Set, 3x Einzelader Schwarz, Blau, Grün-Gelb mit Aderendhülsen;11.95;;nem;;igen;raktaron;igen;0.21;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/h07v-k-6-mm2-verdrahtungsleitung-set-3x-einzelader-schwarz-blau-gruen-gelb-mit-aderendhuelsen-h07v-k-6-set5;https://www.solartronics.de/media/image/e0/7c/e3/h07v-k-6mm2-verdrahtungsleitung-1m-set-schwarz-blau-gruen-gelb-20-aderendhuelsen.jpg;2026-07-09;10.04;brutto (netto szamitott, 19% MwSt);nem;nem;igen;3 Meter (3,98 € * / 1 Meter);4068508018329;INVOLT;nem;1
H07V-K-6-Set9;H07V-K 6 mm² Verdrahtungsleitung Set, 5 x Einzelader Schwarz, Blau, Braun, Grau, Grün-Gelb + Zubehör;15.95;;nem;;igen;raktaron;igen;0.35;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/h07v-k-6-mm2-verdrahtungsleitung-set-5-x-einzelader-schwarz-blau-braun-grau-gruen-gelb-zubehoer-h07v-k-6-set9;https://www.solartronics.de/media/image/e9/80/82/stromkabel_6mm2_blau_braun_grau_gru-n-gelb.jpg;2026-06-22;13.4;brutto (netto szamitott, 19% MwSt);nem;nem;igen;;4068508018367;INVOLT;nem;1
H07V-K-6-Set14;H07V-K 6 mm² Verdrahtungsleitung Set, 6 x Einzelader Schwarz, Blau, Braun, Grau, Grün-Gelb, Rot;49.95;;nem;;igen;raktaron;igen;1.99;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/h07v-k-6-mm2-verdrahtungsleitung-set-6-x-einzelader-schwarz-blau-braun-grau-gruen-gelb-rot-h07v-k-6-set14;https://www.solartronics.de/media/image/04/7a/7c/h07vK_6mm2_Stromkabel_6x5m.jpg;2026-05-27;41.97;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508022289;INVOLT;nem;1
H07V-K-6-Set8;H07V-K 6mm² Leitungs Set je 1m Blau u. Grün-Gelb + 3m Schwarz inkl. 60 Aderendhülsen;15.95;;nem;;igen;raktaron;igen;0.37;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/h07v-k-6mm2-leitungs-set-je-1m-blau-u.-gruen-gelb-3m-schwarz-inkl.-60-aderendhuelsen-h07v-k-6-set8;https://www.solartronics.de/media/image/fd/db/31/involt-h07v-k-6mm-verdrahtungsleitung-set-1m-blau-gruen-gelb-3m-schwarz-60-aderendhuelsen.jpg;2026-03-06;13.4;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508018350;INVOLT;nem;1
IV-AEH-10-18-20;INVOLT Aderendhülsen in verschiedenen Stückzahlen 10,0mm² 18mm lang rot, Made in Germany;4.95;;nem;;igen;raktaron;igen;0.01;https://www.solartronics.de/zubehoer/solarstecker/involt-aderendhuelsen-in-verschiedenen-stueckzahlen-10-0mm2-18mm-lang-rot-made-in-germany-iv-aeh-10-18-20;https://www.solartronics.de/media/image/ff/25/5a/IV-AEH-10-18-20.jpg;2026-03-27;4.16;brutto (netto szamitott, 19% MwSt);nem;nem;igen;20 (0,25 € * / 1 );4068508023743;INVOLT;nem;1
IV-AEH-6-12-20;INVOLT Aderendhülsen in verschiedenen Stückzahlen 6,0mm² 12mm lang gelb, Made in Germany;4.95;;nem;;igen;raktaron;igen;0.01;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/involt-aderendhuelsen-in-verschiedenen-stueckzahlen-6-0mm2-12mm-lang-gelb-made-in-germany-iv-aeh-6-12-20;https://www.solartronics.de/media/image/37/61/5e/IV-AEH-6-12-20.jpg;2026-03-27;4.16;brutto (netto szamitott, 19% MwSt);nem;nem;igen;20 (0,25 € * / 1 );4068508023743;INVOLT;nem;1
IV-OPS-GR-1-001;INVOLT Außensteckdose-Set IP66 Grau IP66 Wetterfest Schutzkontakt mit Klappdeckel;10.99;;nem;;igen;raktaron;igen;0.36;https://www.solartronics.de/stromverteiler-230v-400v/stecker-und-kuplungen/involt-aussensteckdose-set-ip66-grau-ip66-wetterfest-schutzkontakt-mit-klappdeckel-iv-ops-gr-1-001;https://www.solartronics.de/media/image/d8/a0/3d/involt-aussensteckdose-grau-ip66-lieferumfang-montagezubehoer-IV-OPS-GR-1-001.jpg;2026-07-22;9.24;brutto (netto szamitott, 19% MwSt);nem;nem;igen;1 Stück;4068508023965;INVOLT;nem;1
IV-OPS-SW-1-001;INVOLT Außensteckdose-Set IP66 Schwarz IP66 Wetterfest Schutzkontakt mit Klappdeckel;10.99;;nem;;igen;raktaron;igen;0.36;https://www.solartronics.de/stromverteiler-230v-400v/stecker-und-kuplungen/involt-aussensteckdose-set-ip66-schwarz-ip66-wetterfest-schutzkontakt-mit-klappdeckel-iv-ops-sw-1-001;https://www.solartronics.de/media/image/0f/57/85/involt-aussensteckdose-ip66-lieferumfang-montagezubehoerIV-OPS-SW-1-001.jpg;2026-09-10;9.24;brutto (netto szamitott, 19% MwSt);nem;nem;igen;1 Stück;4068508023972;INVOLT;nem;1
IV-BST-016;INVOLT CEE Kombi Wandsteckdose 230V 380V IP44 5 polig;15.95;;nem;;igen;raktaron;igen;0.46;https://www.solartronics.de/involt-cee-kombi-wandsteckdose-230v-380v-ip44-5-polig-iv-bst-016;https://www.solartronics.de/media/image/55/90/e1/16a-schuco-01.jpg;2026-08-14;13.4;brutto (netto szamitott, 19% MwSt);nem;nem;igen;1 Stück;4068508024443;INVOLT;nem;1
IV-BST-008;INVOLT CEE-Adapter 16A 400V Stecker auf 32A 400V Kupplung, 1m Gummischlauchleitung H07RN-F 5G2,5mm²;24.95;;nem;;igen;raktaron;igen;0.82;https://www.solartronics.de/stromverteiler-230v-400v/stecker-und-kuplungen/involt-cee-adapter-16a-400v-stecker-auf-32a-400v-kupplung-1m-gummischlauchleitung-h07rn-f-5g2-5mm2-iv-bst-008;https://www.solartronics.de/media/image/e0/ca/6d/involt-cee-adapterkabel-16a-auf-32a-400v-5-polig-1m-H07RN-F-anschluesse.jpg;2026-08-13;20.97;brutto (netto szamitott, 19% MwSt);igen;nem;nem;1 Stück;4068508023897;INVOLT;nem;1
CZ-25-10;INVOLT Crimpzange für 2,5–10 mm² 7 Teilig;47.95;;nem;;igen;raktaron;igen;0.98;https://www.solartronics.de/zubehoer/solarstecker/involt-crimpzange-fuer-2-5-10-mm2-7-teilig-cz-25-10;https://www.solartronics.de/media/image/c9/6e/ab/CZ-25-10-MAIN.jpg;2026-02-04;40.29;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508017827;INVOLT;nem;1
IV-45200-10;INVOLT H + H Werkzeug 45200 Standardprüfer IV-45200 Spannungsprüfer/Phasenprüfer bis 250V GS geprüft;11.95;;nem;;igen;raktaron;igen;0.2;https://www.solartronics.de/stromverteiler-230v-400v/involt-h-h-werkzeug-45200-standardpruefer-iv-45200-spannungspruefer/phasenpruefer-bis-250v-gs-geprueft-iv-45200-10;https://www.solartronics.de/media/image/b2/c1/b5/IV-45200-10.jpg;2026-02-26;10.04;brutto (netto szamitott, 19% MwSt);nem;nem;igen;10 Stück (1,20 € * / 1 Stück);4068508022913;INVOLT;nem;1
H07V-K-10-Set8;INVOLT H07V-K 10 mm² Verdrahtungsleitung Schwarz, Blau, Grün-Gelb 60 Aderendhülsen (1m 1m 3m);17.95;;nem;;igen;raktaron;igen;0.59;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/involt-h07v-k-10-mm2-verdrahtungsleitung-schwarz-blau-gruen-gelb-60-aderendhuelsen-1m-1m-3m-h07v-k-10-set8;https://www.solartronics.de/media/image/44/81/6b/H07V-K-10-mm2-Verdrahtungsleitung-Set-1-1-3m-Einzelader-farbig-inkl-60-Aderendhuelsen-Spannungspruefer-VDE-INVOLT.jpg;2026-04-10;15.08;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508017940;INVOLT;nem;1
IV-BST-001;INVOLT Stromverteiler Baustromverteiler Verteiler CEE 16A / 400V - 230V Steckdosenverteiler;45.95;;nem;;nem;utanpotlas uton;igen;2.5;https://www.solartronics.de/stromverteiler-230v-400v/verteiler-und-adapter/involt-stromverteiler-baustromverteiler-verteiler-cee-16a/400v-230v-steckdosenverteiler-iv-bst-001;https://www.solartronics.de/media/image/1c/35/ef/involt-baustromverteiler-16a-400v-6x230v-schuko-mobiler-stromverteiler-produktbild.jpg;2026-08-21;38.61;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508018084;INVOLT;nem;1
IV-BST-006;INVOLT Stromverteiler CEE 16A / 400V - 230V, Steckdosenverteiler mit FI-Schutzkontaktsteckdose;99.0;;nem;;igen;raktaron;igen;0.16;https://www.solartronics.de/stromverteiler-230v-400v/verteiler-und-adapter/involt-stromverteiler-cee-16a/400v-230v-steckdosenverteiler-mit-fi-schutzkontaktsteckdose-iv-bst-006;https://www.solartronics.de/media/image/c0/16/dc/involt-schuko-kupplung-16A-230V-IP44-produktbild-freigestellt-IV-BST-006.jpg;2026-08-07;83.19;brutto (netto szamitott, 19% MwSt);igen;nem;nem;1 Stück;4068508023132;INVOLT;nem;1
SP-C2-151;(1 - 10er Pack) CEE-Kupplung 16A 400, IP44, 5-polig weiblich mit Klappdeckel;7.95;;nem;;igen;raktaron;igen;0.23;https://www.solartronics.de/stromverteiler-230v-400v/stecker-und-kuplungen/1-10er-pack-cee-kupplung-16a-400-ip44-5-polig-weiblich-mit-klappdeckel-sp-c2-151;https://www.solartronics.de/media/image/c9/d6/71/16A-CEE-Stecker-Hauptbild-1er-PackdYh4Wa1CZ71zw.jpg;2026-02-26;6.68;brutto (netto szamitott, 19% MwSt);nem;nem;igen;;4260464591636;solartronics;nem;1
ST-C2-P0-25;(1 - 10er Pack) CEE-Stecker & Kupplung 32A 400V, IP44, 5-polig weiblich/männlich 3P+N+E;12.95;;nem;;igen;raktaron;igen;0.53;https://www.solartronics.de/stromverteiler-230v-400v/stecker-und-kuplungen/1-10er-pack-cee-stecker-kupplung-32a-400v-ip44-5-polig-weiblich/maennlich-3p-n-e-st-c2-p0-25;https://www.solartronics.de/media/image/7e/2e/c8/32A-CEE-Stecker-und-Kupplungb7ANW4Th1sdvG.jpg;2026-02-26;10.88;brutto (netto szamitott, 19% MwSt);nem;nem;igen;;4260464591308;solartronics;nem;1
SP-P0-151;(1 - 10er Pack) CEE-Stecker 16A 400V, IP44, 5-polig männlich 3P+N+E;8.95;;nem;;igen;raktaron;igen;0.17;https://www.solartronics.de/stromverteiler-230v-400v/stecker-und-kuplungen/1-10er-pack-cee-stecker-16a-400v-ip44-5-polig-maennlich-3p-n-e-sp-p0-151;https://www.solartronics.de/media/image/0e/9e/5f/16A-CEE-Stecker-Hauptbild65kF8647tTryl.jpg;2026-08-23;7.52;brutto (netto szamitott, 19% MwSt);nem;nem;igen;;4260464591292;solartronics;nem;1
ST-P0-25;(1 - 10er Pack) CEE-Stecker 32A 400V, IP44, 5-polig männlich 3P+N+E;7.95;;nem;;igen;raktaron;igen;0.23;https://www.solartronics.de/stromverteiler-230v-400v/stecker-und-kuplungen/1-10er-pack-cee-stecker-32a-400v-ip44-5-polig-maennlich-3p-n-e-st-p0-25;https://www.solartronics.de/media/image/1f/52/40/ST-P0-25-rechts-2.jpg;2026-02-26;6.68;brutto (netto szamitott, 19% MwSt);nem;nem;igen;;4068508017421;solartronics;nem;1
ST-1;1 - 6 fach Solarstecker kompatibel mit MC4 Solarkabel Y-Verteiler für Solaranlage;4.89;;nem;;igen;raktaron;igen;0.02;https://www.solartronics.de/zubehoer/solarstecker/1-6-fach-solarstecker-kompatibel-mit-mc4-solarkabel-y-verteiler-fuer-solaranlage-st-1;https://www.solartronics.de/media/image/be/d8/ed/8.jpg;2026-07-01;4.11;brutto+netto (oldalrol);nem;igen;igen;;4260464595405;solartronics;nem;1
KA-Batterie-2m-6mm_s;1 Paar Batterie Verbindungskabel rot schwarz Länge 2m Querschnitt 6mm² mit Batterieklemmen;20.17;;nem;;igen;raktaron;igen;0.41;https://www.solartronics.de/zubehoer/batterieklemmen/1-paar-batterie-verbindungskabel-rot-schwarz-laenge-2m-querschnitt-6mm2-mit-batterieklemmen-ka-batterie-2m-6mm-s;https://www.solartronics.de/media/image/40/aa/87/Batteriekabel_Laderegler_Verbindungskabel_rot_schwarz_1.jpg;2026-09-10;16.95;brutto+netto (oldalrol);igen;nem;nem;2 Meter (10,09 € * / 1 Meter);4260464596600;solartronics;nem;1
KA-SCHW-Batterie-2m-6mm;1 Paar Batteriekabel Laderegler Verbindungskabel schwarz 2m Querschnitt 6mm² mit Batterieklemmen;20.17;;nem;;igen;raktaron;igen;0.41;https://www.solartronics.de/zubehoer/batterieklemmen/1-paar-batteriekabel-laderegler-verbindungskabel-schwarz-2m-querschnitt-6mm2-mit-batterieklemmen-ka-schw-batterie-2m-6mm;https://www.solartronics.de/media/image/72/12/7c/Batteriekabel_Laderegler_Verbindungskabel_schwarz_1.jpg;2025-11-03;16.95;brutto+netto (oldalrol);igen;nem;nem;2 Meter (10,09 € * / 1 Meter);4260464596099;solartronics;nem;1
ST-PAAR1;1 bis 50 Paar Solar Stecker für Solarkabel 4-6 mm² PV Stecker kompatibel mit MC4;4.95;;nem;;igen;raktaron;igen;0.02;https://www.solartronics.de/zubehoer/solarstecker/1-bis-50-paar-solar-stecker-fuer-solarkabel-4-6-mm2-pv-stecker-kompatibel-mit-mc4-st-paar1;https://www.solartronics.de/media/image/b4/9f/e2/mc4x1jGY3pv9HwJPTc.jpg;2026-05-07;4.16;brutto+netto (oldalrol);nem;nem;igen;;4260464595474;solartronics;nem;1
H11;1-4er SET Solarmodul Halterung Befestigung Montagewinkel Aluminium Z Winkel Solar Panel Wand Dach;12.95;;nem;;igen;raktaron;igen;0.3;https://www.solartronics.de/zubehoer/solarmodul-befestigung/1-4er-set-solarmodul-halterung-befestigung-montagewinkel-aluminium-z-winkel-solar-panel-wand-dach-h11;https://www.solartronics.de/media/image/62/29/04/winkel1.jpg;2025-11-26;10.88;brutto+netto (oldalrol);nem;igen;igen;;4260464591971;solartronics;nem;1
ST-1-Paar-10-Z;10 Paar Solarstecker Steckverbinder für 4mm² - 6mm² Solarkabel mit Solar-Spannschlüssel & Zange;20.17;;nem;;igen;raktaron;igen;0.85;https://www.solartronics.de/zubehoer/solarstecker/10-paar-solarstecker-steckverbinder-fuer-4mm2-6mm2-solarkabel-mit-solar-spannschluessel-zange-st-1-paar-10-z;https://www.solartronics.de/media/image/13/fa/8c/Steckerset-mit-Crimpzange.jpg;2026-06-22;16.95;brutto+netto (oldalrol);igen;nem;nem;;4068508014703;solartronics;nem;1
100M20-WI;100 Watt 12V Solar Set 20A Laderegler gelb Montagewinkel Solaranlage Inselanlage Solarmodul 1200mm;103.47;;nem;;nem;utanpotlas uton;igen;44.44;https://www.solartronics.de/100-watt-12v-solar-set-20a-laderegler-gelb-montagewinkel-solaranlage-inselanlage-solarmodul-1200mm-100m20-wi;https://www.solartronics.de/media/image/d5/d5/39/1x100W_1200mm_Set_Laderegler_Kabel_Winkel_solartronics.jpg;2026-06-02;86.95;brutto+netto (oldalrol);igen;nem;nem;;4260464596921;solartronics;nem;1
100M20;100 Watt 12V Solar Set 20A Laderegler gelb Solaranlage Inselanlage Garten Camping Solarmodul 1200mm;101.09;;nem;;nem;utanpotlas uton;igen;44.44;https://www.solartronics.de/100-watt-12v-solar-set-20a-laderegler-gelb-solaranlage-inselanlage-garten-camping-solarmodul-1200mm-100m20;https://www.solartronics.de/media/image/ac/74/75/1x100W_1200mm_Set_Laderegler_Kabel_solartronics.jpg;2026-09-10;84.95;brutto+netto (oldalrol);igen;nem;nem;;4260464591797;solartronics;nem;1
M100-950x590-36V;100 Watt 36V Mono Solarmodul 10 Busbars 210mm Zellformat Solarpanel;65.45;;nem;;igen;raktaron;igen;4.76;https://www.solartronics.de/100-watt-36v-mono-solarmodul-10-busbars-210mm-zellformat-solarpanel-m100-950x590-36v;https://www.solartronics.de/media/image/31/9f/a6/100Watt_950mm_36V_Solarmodul_1.jpg;2026-04-01;55.0;brutto+netto (oldalrol);igen;nem;nem;;4068508004261;solartronics;nem;1
M100-925x590-12V;100 Watt Mono Solarmodul 10 Busbars 210mm Zellformat Solarpanel;47.54;;nem;;igen;raktaron;igen;5.7;https://www.solartronics.de/100-watt-mono-solarmodul-10-busbars-210mm-zellformat-solarpanel-m100-925x590-12v;https://www.solartronics.de/media/image/d8/c6/2a/100W_925mm_Solarmodul_1.jpg;2026-04-01;39.95;brutto+netto (oldalrol);igen;nem;nem;;4068508000003;solartronics;nem;1
LR-GE-10A-P;10A Laderegler / G 12V/24V gelb;23.74;;nem;;igen;raktaron;igen;0.2;https://www.solartronics.de/solarladeregler/10a-laderegler/g-12v/24v-gelb-lr-ge-10a-p;https://www.solartronics.de/media/image/b0/2a/2f/Solar_Laderegler_gelb_10A_mit_Display_solartronics_1.jpg;2026-04-28;19.95;brutto+netto (oldalrol);igen;nem;nem;;4260464596587;solartronics;nem;1
M140-1270x590x35-12V;140 Watt Mono Solarmodul 10 Busbars 210mm Zellformat Solarpanel;74.91;;nem;;igen;raktaron;igen;8.63;https://www.solartronics.de/140-watt-mono-solarmodul-10-busbars-210mm-zellformat-solarpanel-m140-1270x590x35-12v;https://www.solartronics.de/media/image/38/61/26/160Watt_1400mm_Solarmodul_1.jpg;2025-09-30;62.95;brutto+netto (oldalrol);igen;nem;nem;;4068508007613;solartronics;nem;1
2xM140-1270x590x35-12V;140 Watt Mono Solarmodule 2 Stück 10 Busbars 210mm Zellformat Solarpanel;142.74;;nem;;igen;raktaron;igen;17.26;https://www.solartronics.de/140-watt-mono-solarmodule-2-stueck-10-busbars-210mm-zellformat-solarpanel-2xm140-1270x590x35-12v;https://www.solartronics.de/media/image/fc/df/13/2xM140-1270x590x35-12V.jpg;2025-09-11;119.95;brutto+netto (oldalrol);igen;nem;nem;;4068508007620;solartronics;nem;1
3xM140-1270x590x35-12V;140 Watt Mono Solarmodule 3 Stück 10 Busbars 210mm Zellformat Solarpanel;210.57;;nem;;igen;raktaron;igen;25.89;https://www.solartronics.de/140-watt-mono-solarmodule-3-stueck-10-busbars-210mm-zellformat-solarpanel-3xm140-1270x590x35-12v;https://www.solartronics.de/media/image/85/8b/af/3xM140-1270x590x35-12V.jpg;2025-09-11;176.95;brutto+netto (oldalrol);igen;nem;nem;;4068508007637;solartronics;nem;1
